#
# File created on Fri Sep 14 23:29:19 CDT 2018
#

Startpoint,Endpoint,DelayType,Slack,#Levels,#LUTs
accelerator/mem_ctrl_top/OUTPUT_BUFFER_GEN[0].d_unpacker/data_reg[41]/C,accelerator/mem_ctrl_top/OUTPUT_BUFFER_GEN[0].outbuf_owidth/fifo_buffer/mem_reg/DINBDIN[9],min,-0.058,0,0
accelerator/mem_ctrl_top/packer/data_reg[14]/C,accelerator/mem_ctrl_top/stream_fifo/mem_reg_0/DINADIN[14],min,-0.058,0,0
accelerator/mem_ctrl_top/packer/data_reg[35]/C,accelerator/mem_ctrl_top/stream_fifo/mem_reg_0/DINBDIN[3],min,-0.058,0,0
accelerator/mem_ctrl_top/packer/data_reg[41]/C,accelerator/mem_ctrl_top/stream_fifo/mem_reg_0/DINBDIN[9],min,-0.058,0,0
accelerator/mem_ctrl_top/packer/data_reg[64]/C,accelerator/mem_ctrl_top/stream_fifo/mem_reg_0/DINPADINP[0],min,-0.058,0,0
accelerator/mem_ctrl_top/packer/data_reg[86]/C,accelerator/mem_ctrl_top/stream_fifo/mem_reg_1/DINADIN[14],min,-0.058,0,0
accelerator/mem_ctrl_top/packer/data_reg[107]/C,accelerator/mem_ctrl_top/stream_fifo/mem_reg_1/DINBDIN[3],min,-0.058,0,0
accelerator/mem_ctrl_top/packer/data_reg[113]/C,accelerator/mem_ctrl_top/stream_fifo/mem_reg_1/DINBDIN[9],min,-0.058,0,0
accelerator/PU_GEN[0].u_PU/PE_GENBLK[0].u_PE/pe_buffer/wr_data_reg[0]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[0].u_PE/pe_buffer/mem_reg_bram_0/DINADIN[0],min,-0.057,0,0
accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/pe_buffer/wr_data_reg[0]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[1].u_PE/pe_buffer/mem_reg_bram_0/DINADIN[0],min,-0.057,0,0
accelerator/PU_GEN[0].u_PU/PE_GENBLK[2].u_PE/pe_buffer/wr_data_reg[0]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[2].u_PE/pe_buffer/mem_reg_bram_0/DINADIN[0],min,-0.057,0,0
accelerator/PU_GEN[0].u_PU/PE_GENBLK[3].u_PE/pe_buffer/wr_data_reg[0]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[3].u_PE/pe_buffer/mem_reg_bram_0/DINADIN[0],min,-0.057,0,0
accelerator/PU_GEN[0].u_PU/PE_GENBLK[4].u_PE/pe_buffer/wr_data_reg[0]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[4].u_PE/pe_buffer/mem_reg_bram_0/DINADIN[0],min,-0.057,0,0
accelerator/PU_GEN[0].u_PU/PE_GENBLK[5].u_PE/pe_buffer/wr_data_reg[0]/C,accelerator/PU_GEN[0].u_PU/PE_GENBLK[5].u_PE/pe_buffer/mem_reg_bram_0/DINADIN[0],min,-0.057,0,0
